Question,Best Answer,Correct Answers,Incorrect Answers
"Upon release, the song set a record for the biggest jump to number-one in the history of the ""Billboard"" Hot 100 chart, rising from number 64 to number-one. She rose to fame in 2002 after winning the inaugural season of the television series ""American Idol"", which earned her a record deal with RCA Records. What record was taken from Makes Me Wonder by an American Idol winner 2002?",biggest jump to number-one in the history,biggest jump to number-one in the history,"Makes Me Wonder broke the record for highest number of streams in a day, beating an American Idol winner from 2002."
"Kay Gunnar Leopold Pollak (born 21 May 1938) is a Swedish film director.Chester Erskine (November 29, 1905 – April 7, 1986) was a Hollywood and Broadway director, writer, and producer. Who has served in more film related job positions, Kay Pollak or Chester Erskine?",Chester Erskine,Chester Erskine,Kay Pollak has served in more film related job positions.
"His most well-known work is the award winning stage play ""Remember Ronald Ryan"", a dramatization of the life and subsequent death of Ronald Ryan, the last man executed in Australia.Ronald Joseph Ryan (21 February 1925 – 3 February 1967) was the last person to be legally executed in Australia. Barry Dickins wrote a film about the last person executed in Australia named what?",Ronald Joseph Ryan,Ronald Joseph Ryan,"Barry Dickins wrote a film about the last person executed in Australia called ""The Executioner's Son""."
"Albert Horton Foote Jr. (March 14, 1916March 4, 2009) was an American playwright and screenwriter, perhaps best known for his screenplays for the 1962 film ""To Kill a Mockingbird"" and the 1983 film ""Tender Mercies"", and his notable live television dramas during the Golden Age of Television.David Foster Wallace (February 21, 1962 – September 12, 2008) was an American writer and university instructor of English and creative writing. Are Horton Foote and David Foster Wallace both playwrights?",no,no,"Actually, both Horton Foote and David Foster Wallace were playwrights, but Foote focused on screenplays while Wallace focused on stage plays."
"The Doberman Pinscher (] ), or Dobermann, or Doberman, is a medium-large breed of domestic dog originally developed around 1890 by Karl Friedrich Louis Dobermann, a tax collector from Germany. Old Time Farm Shepherds are the descendants of the old working Scotch Collies that were common on farms in America in the early twentieth century; as a recognized breed, they were started by J. Richard McDuffie in 1994. Which breed was developed first, the Doberman Pinscher or the Old Time Farm Shepherd?",Doberman Pinscher,Doberman Pinscher,The Old Time Farm Shepherd was developed before the Doberman Pinscher.
"He is considered one of the best American amateur wrestlers in recent history.The Iowa State Cyclones are the athletic teams that represent Iowa State University. What member of the Big 12 Conference and competes in NCAA Division I, fielding 16 varsity teams, had an American college wrestling icon considered one of the best American amateur wrestlers in recent history?",Iowa State Cyclones,Iowa State Cyclones,"The Iowa Hawkeyes are the NCAA Division I member of the Big 12 Conference that fields 16 varsity teams, and their exceptional wrestler was considered one of the best American amateur wrestlers in recent history."
"Pavel Yurevich Ruminov (Russian: Па́вел Ю́рьевич Руми́нов ; born 25 November 1974) is a Russian film director.Terry Zwigoff (born May 18, 1949) is an American filmmaker whose work often deals with misfits, antiheroes, and themes of alienation. Are Terry Zwigoff and Pavel Ruminov both American film directors?",no,no,Pavel Ruminov was born in America.
"The Captive Mind (Polish: Zniewolony umysł ) is a 1953 work of nonfiction by Polish writer, academic and Nobel laureate Czesław Miłosz, published in the English translation originally by Secker and Warburg. His nonfiction book ""The Captive Mind"" (1953) became a classic of anti-Stalinism. From 1961 to 1998 he was a professor of Slavic Languages and Literatures at the University of California, Berkeley. Czesław Miłosz, writter of the 1953 nonfiction ""The Captive Mind"" was professor of Slavic Languages and Literatures at which American University?","University of California, Berkeley","University of California, Berkeley",Czesław Miłosz was a professor at Harvard.
"Among his most recognized roles are opera-singing heavy Jake Fratelli in ""The Goonies"" (1985), Vietnam veteran and FBI Special Agent Big Johnson in ""Die Hard"" (1988), Bond villain Franz Sanchez in ""Licence to Kill"" (1989), police deputy chief Phil Heinemann in ""Predator 2"" (1990), strip club manager Al Torres in ""Showgirls"" (1995) and Albanian mob boss Goran Vata in ""The Expendables 3"" (2014). Originally titled ""Licence Revoked"" in line with the plot, the name was changed during post-production due to test audiences associating the term with driving. What was the original title during production of the film that stars Robert Davi as villian Franz Sanchez?","""Licence Revoked""","""Licence Revoked""","The original title was ""Licence Destroyed."""
"The Wonka Bar is both a fictional candy bar, introduced as a key story point in the 1964 novel ""Charlie and the Chocolate Factory"" by Roald Dahl, and a type of consumer product candy bar inspired by the fictional confection.Roald Dahl ( , ] ; 13 September 1916 – 23 November 1990) was a British novelist, short story writer, poet, screenwriter, and fighter pilot. Wonka Bar is from the novel written by this british novelist born in what year?",1916,1916,1964 is the year the British novelist Roald Dahl was born.
"The Apple Bandai Pippin, stylized ""PiP P!N"", is a multimedia technology console, designed by Apple Computer.Apple Inc. is an American multinational technology company headquartered in Cupertino, California that designs, develops, and sells consumer electronics, computer software, and online services. Where is the headquarters of the designer of Apple Bandai Pippin?","Cupertino, California","Cupertino, California","The headquarters of the designer of Apple Bandai Pippin is in San Francisco, California."
"Richard Mercer is an Australian radio presenter. He was the host of the popular long-running program ""Love Songs and Dedications"" on the (sister) commercial radio stations Mix 106.5 (now KIIS 106.5) in Sydney and Mix 101.1 in Melbourne, where he was referred to as ""The Love God"". He now presents his new radio show ""Your Song"" on newly re-branded commercial station 101.7 WSFM from 7-10 pm Monday to Thursday.101.7 WSFM (call sign: 2UUS) is a FM band radio station broadcasting in Sydney, Australia. Its target market is all people aged 39–54. What is the nickname of the radio presenter who has a show on an FM band radio station in Sydney Australia with a target market of people aged 39-54?","""The Love God""","""The Love God""","Richard Mercer is known as ""The Godfather"" on 101.7 WSFM."
"Windslowe has reportedly also performed buttocks injections on a large number of celebrity clients including Amber Rose and ""a lot of girls from VH1"".Amber Rose (born Amber Levonchuck; October 21, 1983) is an American model and actress. Black Madam reportedly performed buttocks injections on which American model and actress?",Amber Rose,Amber Rose,"Black Madam reportedly performed buttocks injections on a large number of American models and actresses, including Amber Rose."
"The Hunter's Prayer is a British-American action thriller film directed by Jonathan Mostow, based on the 2004 novel ""For the Dogs"" by Kevin Wignall.Alan ""Allen"" Leech (born 18 May 1981) is an Irish actor best known for his role as Tom Branson on the historical drama series ""Downton Abbey"". Leech played Marcus Agrippa on the HBO historical drama series ""Rome"". What Hunter's Prayer actor also played Marcus Agrippa in the HBO drama Rome?","Alan ""Allen"" Leech","Alan ""Allen"" Leech",The actor who played Marcus Agrippa in the HBO drama Rome is Tom Branson in Downton Abbey.
"He has composed music for more than 300 advertisements for brands including Verizon, Chrysler, Mitsubishi, Cotton, Visa, Miller Lite, Sears, Lego, McDonald's and Coca-Cola.Miller Lite, also known simply as Lite, is a 4.2% ABV pilsner light beer brand sold by MillerCoors of Milwaukee, Wisconsin, United States. Taylor McLam composed music for commercials advertising what light beer based in Milwaukee, sold by MillerCoors?",Miller Lite,Miller Lite,Taylor McLam composed music for commercials advertising the iconic American light beer.
"Michael Snow, {'1': "", '2': "", '3': "", '4': ""} (born December 10, 1929) is a Canadian artist working in painting, sculpture, video, films, photography, holography, drawing, books and music.Wayne Wang (; born January 12, 1949) is a Hong Kong-born American film director. Which artist is from Canada, Michael Snow or Wayne Wang?",Michael Snow,Michael Snow,Wayne Wang is not from Canada.
"Four expansion packs have been created since the release of the original game called, ""Unhappy Homes"", ""Unwelcome Guests"", ""Unquiet Dead"" and ""Unfortunate Expeditions"".Keith Baker (born July 7, 1969) is a game designer and fantasy novel author. How many expansion packs have been created for a game that Keith Baker, a game designer, created?",Four,Four,"Six, including ""Unpopular Visitors"" and ""Unlucky Escapades""."
"The name ‘Lyoness’ was derived from the Celtic mythological kingdom ‘Lyonesse’.The Celts ( or , see pronunciation of ""Celt"" for different usages) were an Indo-European people in Iron Age and Medieval Europe who spoke Celtic languages and had cultural similarities, although the relationship between ethnic, linguistic and cultural factors in the Celtic world remains uncertain and controversial. What time period were people who inspired the Lyoness company trademark originally from?",Iron Age and Medieval Europe,Iron Age and Medieval Europe,The Celts were originally from the Iron Age and this inspired the Lyoness company.
"Sunny Day Real Estate was an American emo band from Seattle, Washington.All Time Low is an American rock band from Towson, Maryland, a suburb of Baltimore, formed in 2003. Are Sunny Day Real Estate and All Time Low both from the United States?",yes,yes,"No, Sunny Day Real Estate is from Seattle while All Time Low is from Baltimore."
"The McCarthy Building is located on River Street on the west side of Monument Square in Troy, New York, United States. In 1970 it was added to the National Register of Historic Places in 1970, along with the nearby Cannon Building. It is the oldest building on Monument Square. In 1970 it was listed on the National Register of Historic Places. What building was added to the National Register of Historic Places at the same time as the oldest building on Monument Square?",McCarthy Building,McCarthy Building,The Cannon Building and McCarthy Building were added to the national historic places together.
"He is best known for the comic strip ""Little Nemo"" (1905–14; 1924–26) and the animated film ""Gertie the Dinosaur"" (1914). McCay's employer William Randolph Hearst later curtailed McCay's vaudeville activities, so McCay added a live-action introductory sequence to the film for its theatrical release. Who was the employer of the cartoonist who drew ""Little Nemo""?",William Randolph Hearst,William Randolph Hearst,"""The Little Nemo"" cartoonist was Hearst's employer."
"It was written by Lizzie Mickery, directed by James Hawes, and filmed on location in Scotland, starring Rupert Penry-Jones, Lydia Leonard, David Haig, Eddie Marsan, and Patrick Malahide.Rupert William Penry-Jones (born 22 September 1970) is an English actor, best known for his roles as Adam Carter in the BBC One spy drama series ""Spooks"", Clive Reader QC in the BBC One legal drama ""Silk"", policeman DI Joseph Chandler in the ITV murder mystery series ""Whitechapel"", and Mr. Quinlan in the FX horror series ""The Strain"". Which actor in The 39 Steps also starred in the series The Strain?",Rupert Penry-Jones,Rupert Penry-Jones,Lydia Leonard also starred in The Strain.
"Brian O'Donoghue (born 10 September 1983, in Galway) was an inter-county Gaelic football goalkeeper from Galway who plays for Claregalway and Galway,Galway ( ; Irish: ""Gaillimh"" , ] ) is a city in the West of Ireland in the province of Connacht. What city in the province of Connacht is the birthplace of a Gaelic football goalkeeper?",Galway,Galway,"The birthplace of a Gaelic football goalkeeper is in County Sligo, not Galway."
No. 130 Helicopter Unit (Condors) is a Helicopter Unit and is equipped with Mil Mi-17 and based at Leh Air Force Station.The Mil Mi-17 (NATO reporting name: Hip) is a Russian helicopter in production at two factories in Kazan and Ulan-Ude. What Russian helicopter is produced in Kazan and is used in Unit No. 130 at Leh Air Force Station?,Mil Mi-17,Mil Mi-17,Mi-17 is produced only in Kazan.
"South of this station is the San Ysidro Port of Entry at the Mexico–United States border.The Mexico–United States border is an international border separating Mexico and the United States, extending from the Pacific Ocean to the west and Gulf of Mexico to the east. Which  international border is San Ysidro Port of Entry at",The Mexico–United States border,The Mexico–United States border,San Ysidro Port of Entry is at an international border located between Canada and the United States.
"Kim Dong-jun (hangul: 김동준; hanja: 金桐俊; born February 11, 1992) is a South Korean singer and actor.Alison Elizabeth Margaret Goldfrapp (born 13 May 1966) is an English musician and record producer, best known as the lead vocalist of the electronic music duo Goldfrapp. Which artist is from England, Kim Dong-jun or Alison Goldfrapp?",Alison Elizabeth Margaret Goldfrapp,Alison Elizabeth Margaret Goldfrapp,Kim Dong-jun is from South Korea.
"It provided unacknowledged material for John Gerard's better-known ""Herball"" (London, 1597) and was reprinted in Germany throughout the 17th century. His chief notability is as the author of a large (1,484 pages) illustrated ""Herball, or Generall Historie of Plantes"". First published in 1597, it was the most widely circulated botany book in English in the 17th century. Which botanist published the most popular botany book of his time?",John Gerard,John Gerard,"The most popular botany book of his time was written by John Gerard, a leading botanist."
"He worked on ""Reservoir Dogs"" and ""Pulp Fiction"", for which he and Quentin Tarantino were awarded the Oscar for Best Original Screenplay at the 67th Academy Awards.Quentin Jerome Tarantino ( ; born March 27, 1963) is an American director, writer, and actor. Which director with the middle name Jerome helped work which movie with Roger Avary?",Pulp Fiction,Pulp Fiction,Quentin Tarantino worked with Roger Avary on the movie Jackie Brown.
"Travis is a Scottish rock band formed in Glasgow in 1990, composed of Fran Healy (lead vocals, rhythm guitar), Dougie Payne (bass guitar, backing vocals), Andy Dunlop (lead guitar, banjo, backing vocals) and Neil Primrose (drums, percussion). The band's name comes from the Harry Dean Stanton character Travis Henderson from the film ""Paris, Texas"". The band is widely claimed by the media as having paved the way for other bands such as Keane and Coldplay to go onto achieve worldwide success throughout the 2000s, particularly through the band's ""The Man Who"" (1999) album.Shiny Toy Guns is an American rock band that formed in 2002 in Los Angeles, California. They released their first studio album ""We Are Pilots"" in 2006, after recording it two previous times. It featured three singles that peaked inside the top 30 in the Alternative Songs Chart. ""We Are Pilots"" was nominated for a Grammy Award. Their second album ""Season of Poison"" was released in 2008 and featured two singles that peaked inside the top 30 in the Alternative Songs Chart. Are the rock bands Travis and Shiny Toy Guns from the same country?",no,no,Travis and Shiny Toy Guns have different origin countries.
"She worked at the Jet Propulsion Laboratory for sixteen years, in the technology transfer office and on the Magellan and TOPEX/Poseidon flight projects.The Jet Propulsion Laboratory (JPL) is a federally funded research and development center and NASA field center in La Cañada Flintridge, California and Pasadena, California, United States. In which state did Joan Horvath work for sixteen years?",California,California,Joan Horvath worked at the Jet Propulsion Laboratory for sixteen years in Alaska.
"She also worked as the Jewish chaplain at Colgate University for six years, as a congregational rabbi in Bloomington, Indiana for five years, and on the faculties of Colgate and American Universities.Colgate University is a private liberal arts college located on 575 acres (2.08 km²) in Hamilton Village, Hamilton Township, Madison County, New York, United States. In what state did Joan Friedman work as a Jewish Chaplain for six years?",New York,New York,Joan Friedman worked as a Jewish Chaplain for six years in Madison County.
"He is the founder and head trainer at AMC Pankration in Kirkland, WA, which is home to UFC flyweight champion Demetrious Johnson, ONE bantamweight champion Bibiano Fernandes and he has trained numerous world class fighters including Josh Barnett, Tim Boetsch Bob Sapp, Chris Leben, Hayato Sakurai, Akira Shoji, Matt Brown, Rich Franklin, Mario Miranda and Caros Fodor. He is also the #1 ranked pound for pound MMA fighter in the world. Which UFC champion born in Kirkland, WA, is known as the #1 ranked pound for pound MMA fighter?",Demetrious Johnson,Demetrious Johnson,The founder and head trainer is the #1 ranked pound for pound MMA fighter in the world.
"Dale Hamer is a former American football official in the National Football League (NFL) who served from 1978 to 2001, with a break taken for health reasons during the 1995 season. During his 23 seasons in the NFL, Hamer was assigned to officiate in two Super Bowls, as a head linesman in Super Bowl XVII and in Super Bowl XXII.Super Bowl XVII was an American football game between the American Football Conference (AFC) champion Miami Dolphins and the National Football Conference (NFC) champion Washington Redskins to decide the National Football League (NFL) champion for the 1982 season. Who was the NFC team in the first Superbowl in which Dale Hamer was the head linesman?",Washington Redskins,Washington Redskins,There was no NFC team in the first Superbowl in which Dale Hamer was the Head Linesman.
"It is a parody of Luis Buñuel's film ""Belle de Jour"".Belle de Jour (] ) is a 1967 French drama film directed by Luis Buñuel and starring Catherine Deneuve, Jean Sorel, and Michel Piccoli. Brutti di notte is a parody of the film starring which actress?",Catherine Deneuve,Catherine Deneuve,"Brutti di notte is a parody of the film Belle de Jour, starring Sophia Loren."
"The Treaty of Bastia was an agreement signed in 1814 (near the end of the Napoleonic Wars) between Corsican nationalists and Lord William Bentinck, commander of British forces in Italy.Lieutenant-General Lord William Henry Cavendish-Bentinck (14 September 1774 – 17 June 1839), known as Lord William Bentinck, was a British soldier and statesman. What nationality is Lord William Bentinck?",British,British,Lord William Bentinck is American.
"""V"" Is for Vagina is the debut studio album by Maynard James Keenan's side project Puscifer, released on  30, 2007 (2007--) .A Perfect Circle is an American rock supergroup formed in 1999 by guitarist Billy Howerdel and Tool vocalist Maynard James Keenan. However, in 2017, the band returned to touring and announced plans to record and release a fourth studio album under a new record label, BMG Rights Management, between late 2017 and early 2018. ""V"" Is for Vagina is the debut studio album by Maynard James Keenan's side project Puscifer, the album features a significantly different, electronic sound and arrangements than Keenan's other bands: the progressive Tool and alternative A Perfect Circle, is an American rock supergroup formed by Billy Howerdel and Tool vocalist Maynard James Keenan, in what year?",1999,1999,A Perfect Circle is an American rock supergroup formed in the year 2007.
"James Hamilton, 5th Duke of Hamilton and 2nd Duke of Brandon KT FRS (5 January 1703 – 2 March 1743) was a Scottish peer, the son of the 4th Duke of Hamilton.Lieutenant General James Hamilton, 4th Duke of Hamilton and 1st Duke of Brandon {'1': "", '2': "", '3': 'KG KT', '4': ""} (11 April 1658 – 15 November 1712) was a What year was the father of  James Hamilton, 5th Duke of Hamilton born?",1658,1658,"James Hamilton, 5th Duke of Hamilton was born in 1658."
"Saint Asonia (stylized as SΔINT ΔSONIΔ) is a Canadian-American rock supergroup originally consisting of former Three Days Grace frontman Adam Gontier (lead vocals, rhythm guitar), Mike Mushok from Staind (lead guitar), Corey Lowery from Dark New Day, Eye Empire, Switched, Sevendust, Stereomud and Stuck Mojo (bass, backing vocals), and Rich Beddoe from Finger Eleven (drums).Manic Street Preachers are a Welsh alternative rock band, formed in 1986 in Blackwood, Caerphilly and consisting of James Dean Bradfield (lead vocals, lead guitar), Nicky Wire (bass guitar, lyrics) and Sean Moore (drums, percussion). Are Saint Asonia and Manic Street Preachers both involved with rock music?",yes,yes,Saint Asonia and Manic Street Preachers are both rock bands but Saint Asonia is an experimental rock band.
"Nsuta is in Ashanti although there are a number of towns in Ghana with this name. Its capital is Nsuta. The district is among the new districts and municipalities created in 2008 by the then President, John Kufuor. Which Ghanaian district capital shares its name with a number of other towns in Ghana and is located in one of the new districts created in 2008?",Nsuta,Nsuta,Nsuta shares its name with a number of other towns in Ghana and is located in one of the newly created districts.
"Keith Jackson, who did the play by play for ABC, called it the greatest game he'd ever seen.Keith Max Jackson (born October 18, 1928) is a retired American sportscaster, known for his career with ABC Sports (1966–2006), his intelligent yet folksy coverage of college football (1952–2006), and his distinctive voice, with its deep cadence and operatic tone considered ""like Edward R. Murrow reporting on World War II, the voice of ultimate authority in college football."" When was the sportscaster who did play by play for ABC in 1978 born ?","October 18, 1928","October 18, 1928",The sportscaster born in 1978 is not mentioned in the knowledge.
"The publication also includes an excerpt from King's novel ""11/22/63"", published two months later. The novel was published on November 8, 2011 and quickly became a number-one bestseller. Mile 81 contained an excerpt from what Stephen King novel that was published November 8, 2011?",11/22/63,11/22/63,The excerpt was from King's 11/22/63.
"Andrew ""Andreas"" Katsulas (May 18, 1946 – February 13, 2006) was an American actor known for his roles as Ambassador G'Kar in the science-fiction television series ""Babylon 5"", as the one-armed villain Sykes in the film ""The Fugitive"" (1993), and as the Romulan Commander Tomalak on """".The Fugitive is a 1993 American action-thriller film based on the 1960s television series of the same name created by Roy Huggins. Andreas Katsulas plays the villain Sykes in a film based on a 1960's tv series created by who?",Roy Huggins,Roy Huggins,The Fugitive is based on the 1960s series Magnum P.I.
"Westfield Culver City (also known as the Fox Hills Mall), is a shopping mall in Culver City, California, owned by the Westfield Group.Westfield Group was an Australian shopping centre company that existed from 1960 to 2014, when it split into two independent companies: Scentre Group, which now owns and operates the Australian and New Zealand Westfield shopping centre portfolio; and Westfield Corporation which owns and operates the UK, Europe and US portfolio. Westfield Culver City is owned by what Australian shopping centre company that existed from 1960 to 2014",Westfield Group,Westfield Group,The owner of Westfield Culver City is still unknown.
"Briggs is best remembered as founder and editor of ""The Crusader,"" a seminal New York magazine of the New Negro Movement of the 1920s and as founder of the African Blood Brotherhood, a small but historically important radical organization dedicated to advancing the cause of Pan-Africanism.Pan-Africanism is a worldwide intellectual movement that aims to encourage and strengthen bonds of solidarity between all people of African descent. Cyril Briggs was dedicated to advancing what  worldwide intellectual movement that aims to encourage and strengthen bonds of solidarity between all people of African descent",Pan-Africanism,Pan-Africanism,Cyril Briggs dedicated himself to the upliftment of African diaspora through Pan-Africanism.
"Jacques Prévert (] ; 4 February 190011 April 1977) was a French poet and screenwriter.Eugène Ionesco (born Eugen Ionescu, ] ; 26 November 1909 – 28 March 1994) was a Romanian-French playwright who wrote mostly in French, and one of the foremost figures of the French Avant-garde theatre. Which writer was born first, Jacques Prévert or Eugène Ionesco?",Jacques Prévert,Jacques Prévert,Eugène Ionesco was born first.
"ROPS (Runway Overrun Prevention System) is a technology used in the Airbus A350 XWB aircraft, which is designed to prevent the overshooting of the runway as the plane is landing. The A350 is the first Airbus aircraft with both fuselage and wing structures made primarily of carbon-fibre-reinforced polymer. The aircraft that uses Runway Overrun Prevention System technology is the first to have both a fuselage and wing structure made primarily of what material?",carbon-fibre-reinforced polymer,carbon-fibre-reinforced polymer,The aircraft that uses Runway Overrun Prevention System technology is the first to have both a fuselage and wing structure made primarily of Kevlar.
"Vladimir Alexandrovich Voevodsky ( ; Russian: Влади́мир Алекса́ндрович Воево́дский , 4 June 1966 - 30 September 2017) was a Russian mathematician.Anatoly Ivanovich Maltsev (also: Malcev, Mal'cev; Russian: Анато́лий Ива́нович Ма́льцев; 27 November N.S./14 November O.S. 1909, Moscow Governorate – 7 June 1967, Novosibirsk) was born in Misheronsky, near Moscow, and died in Novosibirsk, USSR. Who was born first Vladimir Voevodsky or Anatoly Maltsev",Anatoly Ivanovich Maltsev,Anatoly Ivanovich Maltsev,Vladimir Alexandrovich Voevodsky was born first.
"The 25th TCA Awards were presented by the Television Critics Association. Chelsea Handler hosted the ceremony on August 1 at the Huntington Hotel and Spa in Pasadena, Calif.Chelsea Joy Handler (born February 25, 1975) is an American comedian, actress, writer, television host, and producer. On what day was the comedian who hosted the 25th TCA Awards born?","born February 25, 1975","born February 25, 1975","The comedian who hosted the 25th TCA Awards was born on March 25th, 1975."
"Slowdive are an English rock band that formed in Reading, Berkshire in 1989. The band consists of Rachel Goswell on vocals and guitar, Simon Scott on drums, Neil Halstead on vocals and guitar, Nick Chaplin on bass and Christian Savill on guitar.Skunk Anansie are a British rock band whose members include Skin (lead vocals, guitar), Cass (guitar, bass, backing vocals), Ace (guitar, backing vocals) and Mark Richardson (drums and percussion). Which band has more members, English rock band Slowdive, or British rock band Skunk Anansie?",Slowdive,Slowdive,Skunk Anansie has more members.
"Dame Susan Jocelyn Bell Burnell, (born 15 July 1943) is a Northern Irish astrophysicist. As a postgraduate student, she discovered the first radio pulsars while studying and advised by her thesis supervisor Antony Hewish, for which Hewish shared the Nobel Prize in Physics with astronomer Martin Ryle. He was also awarded the Eddington Medal of the Royal Astronomical Society in 1969. What year was the thesis supervisor of Jocelyn Bell Burnell awarded the Eddington Medal?",1969,1969,The Eddington Medal was awarded to Antony Hewish in 1968.
"Leckie Mine, also known as Penrose Mine and Little Dan Mine, is an abandoned gold producing underground mine in Northeastern Ontario, Canada, located on the eastern shore of Arsenic Lake 4 km north of the town of Temagami.The Giant Mine was a gold mine located on the Ingraham Trail, 5 km north of Yellowknife, Northwest Territories. are Leckie Mine and Giant Mine located in the same town",no,no,Leckie Mine and Giant Mine have different towns.
"The Attack were a freakbeat/psychedelic rock band formed in 1966 around singer Richard Shirman (born 26 April 1949, London Died July 2017) The first line-up featured drummer Alan Whitehead from Marmalade, guitarist David O'List (later of The Nice) and John Du Cann (later of Andromeda and Atomic Rooster). They also released a version of ""Hi Ho Silver Lining"", a few days earlier than Jeff Beck.Geoffrey Arnold ""Jeff"" Beck (born 24 June 1944) is an English rock guitarist. Who released a version of a song a few days earlier than the artist born as Geoffrey Beck?",The Attack,The Attack,"""Hi Ho Silver Lining"" was released a few days earlier than Beck."
"750 Seventh Avenue is a 615 ft (187m) tall Class-A office skyscraper in New York City.The W. R. Grace Building is a skyscraper in Manhattan, New York City. What do 750 7th Avenue and W. R. Grace Building have in common?",skyscraper in New York City,skyscraper in New York City,750 7th Avenue and W.R. Grace Building both have a unique architectural design.
"""Brother"" is a single by New Zealand hip-hop group Smashproof, released in early 2009. The song debuted in New Zealand at number twenty-three on 26 January 2009, rising to number one in its fifth week, where it stayed on the RIANZ Top 40 for eleven weeks, finally being knocked off the top spot by Eminem's ""We Made You"".""We Made You"" is a song by American rapper Eminem from his sixth studio album ""Relapse"" (2009). ""Brother"" is a single by Smashproof that rose to number one where it stayed on the RANTZ top f40 before being knocked off the top spot by a song from an American rappers sixth studio album called what?",Relapse,Relapse,"""Eminem"" is a song by American rapper Eminem that replaced ""Brother"" on the RIANZ Top 40's top spot."
"The club plays in the Bundesliga, the top tier of the German football league system, and hosts matches at the BayArena.BayArena (] ) is a football stadium in Leverkusen, North Rhine-Westphalia, Germany, which has been the home ground of Bundesliga club Bayer Leverkusen since 1958. Bayer 04 Leverkusen is a club that has hosted matches at which arena since 1958?",BayArena,BayArena,"Bayer 04 Leverkusen has been playing at BayArena since 1958, except for a few matches."
"He has mixed songs for such artists as Prince, Michael Jackson, Madonna, Usher, Black Eyed Peas, Nas, Afrojack, Talib Kweli, Britney Spears, Ice Cube, Redman, The Wu Tang Clan, Bone Thugs-n-Harmony, Xzibit, Missy Elliott, Tweet, Christina Aguilera, P!nk, The Game, Ricky Martin, Rihanna, Chris Brown, Far East Movement, K'NAAN, Hollywood Undead, Common, and Flo Rida.Jayceon Terrell Taylor (born November 29, 1979), better known by his stage name The Game (or simply Game), is an American rapper and actor. The Game is best known as a rapper in the West Coast hip hop scene and for being one of Dr. Dre's signers under Aftermath Records. Dylan Dresdow has mixed songs for which American rapper known in the west coast hip-hop scene?",Jayceon Terrell Taylor,Jayceon Terrell Taylor,Dylan Dresdow has mixed songs for Ice Cube.
"Guiping is a county-level city in eastern Guangxi, China.Linxia City (), once known as Hezhou (), is a county-level city in the province of Gansu of the People's Republic of China, and the capital of the multi-ethnic Linxia Hui Autonomous Prefecture. Guiping and Linxia City are both what?",county-level city,county-level city,Guiping and Linxia City are both situated in China.
"The film stars an ensemble cast consisting of Tom Hiddleston, Samuel L. Jackson, John Goodman, Brie Larson, Jing Tian, Toby Kebbell, John Ortiz, Corey Hawkins, Jason Mitchell, Shea Whigham, Thomas Mann, Terry Notary, and John C. Reilly.Tobias Alistair Patrick ""Toby"" Kebbell (born 9 July 1982) is an English stage and film actor. He is known for his roles in films such as ""Dead Man's Shoes"" (2004), ""RocknRolla"" (2008), """" (2010), ""War Horse"" (2011), ""Wrath of the Titans"" (2012), ""Dawn of the Planet of the Apes"" (2014), ""Fantastic Four"" (2015), ""Warcraft"" (2016), ""A Monster Calls"" (2016), and ""Gold"" (2016). Kong: Skull Island starred the English actor known for his roles in what 2004 film?",Dead Man's Shoes,Dead Man's Shoes,"Toby Kebbell starred in 2004's ""Shaun of the Dead."""
The offseason was marked by the draft selection of All-American Florida State quarterback Jameis Winston first overall in the 2015 NFL Draft. Winston played college football for the Florida State Seminoles and as a Redshirt freshman became the youngest player to win the Heisman Trophy and helped lead the Seminoles to a victory in the 2014 BCS National Championship Game. What 2014 Heisman Trophy winner was a first round pick by the Tampa Bay Buccaneers in the 2015?,Jameis Winston,Jameis Winston,Jameis Winston is a retired NFL quarterback.
"One Big Hapa Family is a 2010 animated/live-action documentary film directed by Canadian director Jeff Chiba Stearns.Saigon, U.S.A. is a 2004 documentary film about Vietnamese Americans that live in the United States. One Big Hapa Family and Saigon, U.S.A. are both what?",documentary film,documentary film,"One Big Hapa Family and Saigon, U.S.A. both explore Asian-American culture."
"Candleshoe is a 1977 American family adventure film produced by Walt Disney Productions based on the Michael Innes novel ""Christmas at Candleshoe"" and starring Jodie Foster, David Niven, Helen Hayes in her last big screen appearance and Leo McKern.Pooh's Heffalump Movie is a 2005 American animated film produced by DisneyToon Studios and released by Walt Disney Pictures, featuring characters from A. A. Milne's ""Winnie-the-Pooh"" stories. Are both Candleshoe and Pooh's Heffalump Movie Walt Disney films?",yes,yes,"No, only Candleshoe is a Disney film."
"The academy, formed in 1956, is named after Soviet Marshal G.K. Zhukov.Georgy Konstantinovich Zhukov 1 December 1896 – 18 June 1974), was a Soviet Red Army officer who became Chief of General Staff, Deputy Commander-in-Chief, Minister of Defence and a member of the Politburo. During World War II he participated in multiple battles, ultimately commanding the 1st Belorussian Front in the Battle of Berlin, which resulted in the defeat of Nazi Germany, and the end of the War in Europe The Zhukov Air and Space Defense Academy was named for a Soviet Red Army officer who commanded the 1st Belorussian Front in the Battle of Berlin, during what war?",World War II,World War II,"The Zhukov Academy was named for Soviet Marshal G.K. Zhukov, who led military campaigns during World War II."
